epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,5524.99,1.09106,0.83863,1.33529,0.94054,0.86403,0.90776,0.63205,1.33733,0.90584,0.92863,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,5691.95,1.08072,0.835,1.33362,0.91863,0.87111,0.9076,0.63069,1.33192,0.9092,0.93135,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,5859.55,1.07493,0.82812,1.33372,0.9355,0.86599,0.91246,0.63444,1.31974,0.89177,0.92625,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,6025.83,1.08052,0.8196,1.3282,0.9473,0.85777,0.91304,0.63444,1.31535,0.9038,0.92443,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,6192.38,1.05465,0.80756,1.3151,0.94131,0.86079,0.91349,0.63326,1.31559,0.85636,0.92404,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,6359.96,1.0695,0.80941,1.32007,0.9376,0.86819,0.91473,0.63943,1.30128,0.85499,0.92017,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,6527.86,1.05589,0.80689,1.30705,0.94982,0.85894,0.91352,0.63925,1.29388,0.85967,0.91885,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,6695.26,1.05596,0.7979,1.30768,0.94559,0.86434,0.9169,0.64356,1.28854,0.85066,0.91457,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,6863.37,1.04929,0.80779,1.31009,0.96221,0.85821,0.91683,0.64354,1.28801,0.83561,0.91448,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,7037.84,1.04316,0.77798,1.29901,0.95289,0.87635,0.91868,0.64092,1.28454,0.82259,0.91583,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,7222.82,1.0335,0.77116,1.30057,0.95208,0.87626,0.91943,0.64327,1.28509,0.83749,0.91704,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,7408.01,1.03703,0.76548,1.30153,0.95738,0.87155,0.91956,0.64467,1.2813,0.83594,0.91207,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,7589.9,1.03613,0.7638,1.30134,0.95419,0.87329,0.91893,0.64585,1.28153,0.84219,0.91069,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,7769.19,1.03177,0.77526,1.30244,0.95242,0.87599,0.91928,0.64623,1.2751,0.84197,0.91014,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,7967.71,1.02296,0.75962,1.28564,0.95555,0.87783,0.92094,0.64754,1.27215,0.8524,0.90918,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,8143.72,1.02136,0.7596,1.28899,0.96126,0.87016,0.92002,0.65125,1.27397,0.85363,0.91009,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,8325.19,1.01555,0.74476,1.28698,0.95492,0.88246,0.92151,0.65007,1.26799,0.84898,0.91076,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,8523.69,1.01889,0.74829,1.28928,0.95078,0.88245,0.9194,0.6514,1.26683,0.84721,0.91088,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,8722.28,0.99954,0.73778,1.27885,0.95584,0.88043,0.92026,0.65192,1.26548,0.84599,0.91029,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,8937.76,1.0019,0.73405,1.26997,0.95654,0.87924,0.92059,0.65292,1.26093,0.83689,0.90771,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,9130.72,1.00718,0.73059,1.27479,0.94755,0.88738,0.92126,0.65415,1.25685,0.82973,0.90737,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,9318.59,0.98003,0.71259,1.26742,0.95378,0.88105,0.92164,0.65364,1.25443,0.81874,0.90701,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,9502,0.99744,0.71372,1.27134,0.94867,0.88293,0.92201,0.65413,1.25271,0.81602,0.90664,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,9691.21,0.97936,0.7053,1.26047,0.95149,0.87989,0.92261,0.65693,1.25214,0.80874,0.90644,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,9881.69,0.98043,0.70024,1.25945,0.95872,0.87375,0.92272,0.65638,1.25214,0.80016,0.90649,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,10068.4,0.96499,0.69511,1.25466,0.96154,0.87109,0.92297,0.6588,1.25265,0.79417,0.90702,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,10255.1,0.97568,0.70065,1.26293,0.94912,0.88207,0.92316,0.66038,1.24975,0.79437,0.90617,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,10440.6,0.96751,0.68713,1.25317,0.9567,0.87753,0.92334,0.66048,1.24619,0.78713,0.90503,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
